Team;Home;Away;Third;GK_Home;GK_Away;Abbr
Equipo rojo;((0, 77, 75),(22, 255, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((29,99,172),(36,193,254));((180,255,255),(180,255,255));
Equipo verde;((38, 56, 185),(91, 177, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));
Real Madrid;((0, 0, 174),(123, 99, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((32, 111, 168),(50, 255, 255));((180,255,255),(180,255,255));RMA
Sevilla;((180,255,255),(180,255,255));((37, 48, 0),(112, 252, 89));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((28, 151, 179),(180, 255, 255));SEV
Monaco;((137,0,120),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));ASM
Manchester City;((63, 0, 108),(122, 142, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((24, 113, 168),(33, 250, 255));((180,255,255),(180,255,255));MCY
Barcelona;((0, 0, 0),(180, 129, 100));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));FCB
Villareal;((0, 164, 152),(77, 255, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((0, 0, 0),(180, 127, 66));((180,255,255),(180,255,255));VLL
Liverpool;((0, 182, 101),(15, 255, 171));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((14, 0, 0),(104, 112, 94));((180,255,255),(180,255,255));LVP
Chelsea;((105, 73, 74),(164, 255, 187));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((47,96,91),(72,213,173));((180,255,255),(180,255,255));CHE
Borussia Dortmund;((23, 177, 132),(36, 255, 187));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((6, 131, 210),(13, 186, 255));((180,255,255),(180,255,255));BVB
Paris Saint-Germain;((56,46,0),(108,116,97));((24, 0, 196),(123, 75, 255));((180,255,255),(180,255,255));((55,112,76),(74,223,150));((180,255,255),(180,255,255));PSG
Stade Rennais;((180,255,255),(180,255,255));((39, 0, 172),(74, 52, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));RNS
Napoles;((52, 11, 109),(110, 255, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((0, 123, 130),(26, 255, 224));((180,255,255),(180,255,255));NAP
Manchester United;((0, 0, 167),(180, 255, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((21, 159, 205),(30, 255, 255));((180,255,255),(180,255,255));MUN
Bayern Munich;((180,255,255),(180,255,255));((10, 0, 0),(164, 161, 108));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));BAY
Atletico Madrid;((109, 16, 50),(180, 255, 255));((180,255,255),(180,255,255));((180,255,255),(180,255,255));((55, 79, 90),(94, 255, 149));((180,255,255),(180,255,255));ATM
